Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
32022;Henri Barbusse - Marcel Cachin;OUI;0;0;0;0;0;NON;NON;2025-02-24T10:20:03+00:00;48.93742089281, 2.3720374971659;Saint-Denis;93066;
48012;Stalingrad - Henri Luisette;OUI;0;26;0;0;0;OUI;OUI;2025-04-17T15:36:10+00:00;48.78363092456589, 2.366935946761926;Villejuif;94076;
1015;Place André Malraux;OUI;0;8;27;19;8;OUI;OUI;2025-04-17T15:41:52+00:00;48.863925158727, 2.3356226831675;Paris;75056;
20010;Sorbier - Gasnier-Guy;OUI;0;29;1;0;1;OUI;OUI;2025-04-17T15:42:08+00:00;48.865217631011, 2.3936596512794;Paris;75056;
2006;Place des Victoires;OUI;0;2;20;16;4;OUI;OUI;2025-04-17T15:40:50+00:00;48.8660354, 2.3420333;Paris;75056;
15018;Dutot - Place Alleray;OUI;0;53;3;0;3;OUI;OUI;2025-04-17T15:40:14+00:00;48.836826091766, 2.3071701095578;Paris;75056;
1024;Coquillière - Louvre;OUI;0;2;19;13;6;OUI;OUI;2025-04-17T15:42:03+00:00;48.863795909662, 2.3425736278296;Paris;75056;
20048;Bagnolet - Place Saint-Blaise;OUI;0;28;0;0;0;OUI;OUI;2025-04-17T15:41:31+00:00;48.85973, 2.40334;Paris;75056;
2102;Saint-Marc - Feydeau;OUI;0;29;7;3;4;OUI;OUI;2025-04-17T15:42:29+00:00;48.870326843044, 2.3418715826353;Paris;75056;
45004;République - Louis Loucheur;OUI;0;22;15;2;13;OUI;OUI;2025-04-17T15:40:50+00:00;48.823549261189, 2.5101865455508;Champigny-sur-Marne;94017;
12016;Saint-Mande - Picpus;OUI;3;33;2;2;0;OUI;OUI;2025-04-17T15:39:00+00:00;48.845127728278, 2.4015686296482;Paris;75056;
6015;André Mazet - Saint-André des Arts;OUI;0;18;35;34;1;OUI;OUI;2025-04-17T15:42:19+00:00;48.85375581057431, 2.3390958085656166;Paris;75056;
23301;Les Blagis;OUI;0;20;4;4;0;OUI;OUI;2025-04-17T15:42:33+00:00;48.785205, 2.302526;Sceaux;92071;
32011;Stade de France - Francis de Pressensé;OUI;0;32;11;5;6;OUI;OUI;2025-04-17T15:42:43+00:00;48.919141953558, 2.3620655760169;Saint-Denis;93066;
42210;Victor Hugo - Paul Eluard;OUI;0;6;24;17;7;OUI;OUI;2025-04-17T15:42:36+00:00;48.819602554907, 2.4114319673051;Charenton-le-Pont;94018;
17020;Jouffroy d'Abbans - Malesherbes;OUI;2;24;2;0;2;OUI;OUI;2025-04-17T15:42:47+00:00;48.8850134, 2.3070717;Paris;75056;
21011;Silly - Louis Blériot;OUI;0;15;8;7;1;OUI;OUI;2025-04-17T15:41:48+00:00;48.83219045374266, 2.2340199351310734;Boulogne-Billancourt;92012;
23206;Béranger - Félix Faure;OUI;0;25;3;0;3;OUI;OUI;2025-04-17T15:36:16+00:00;48.80404828621485, 2.2848263373723436;Châtillon;92020;
23303;Gare de Robinson;OUI;0;21;9;7;2;OUI;OUI;2025-04-17T15:41:17+00:00;48.7799259211605, 2.281828634440899;Sceaux;92071;
8040;Pierre Charron - Champs-Elysées;OUI;0;16;14;3;11;OUI;OUI;2025-04-17T15:40:08+00:00;48.870103359864, 2.3043501377106;Paris;75056;
42022;Gare RER - Maurice Grandcoing;OUI;0;9;28;22;6;OUI;OUI;2025-04-17T15:42:30+00:00;48.813881, 2.392429;Ivry-sur-Seine;94041;
10202;Bichat - Grange aux Belles;OUI;0;25;3;1;2;OUI;OUI;2025-04-17T15:42:02+00:00;48.873688, 2.365015;Paris;75056;
26012;Jardin Modèle - Pierre Boudou;OUI;0;7;9;4;5;OUI;OUI;2025-04-17T15:37:35+00:00;48.914866710946, 2.3057010525935;Asnières-sur-Seine;92004;
20142;Mûriers - Père Lachaise;OUI;0;18;1;0;1;OUI;OUI;2025-04-17T15:41:10+00:00;48.864130509668044, 2.39164982067019;Paris;75056;
10166;Strasbourg - Saint-Denis;OUI;0;2;12;9;3;OUI;OUI;2025-04-17T15:42:46+00:00;48.869601642433, 2.3542908579111;Paris;75056;
18135;Ney - Porte de Montmartre;OUI;0;19;4;0;4;OUI;OUI;2025-04-17T15:39:04+00:00;48.897918, 2.3364872;Paris;75056;
23202;Henri Barbusse - Gabriel Péri;OUI;0;11;2;1;1;OUI;OUI;2025-04-17T15:39:55+00:00;48.801773795836, 2.2874166362216;Châtillon;92020;
21704;Place du Maréchal de Lattre de Tassigny;OUI;1;22;5;3;2;OUI;OUI;2025-04-17T15:42:15+00:00;48.821707715257055, 2.2853431485432423;Vanves;92075;
13049;Vincent Auriol - Louise Weiss;OUI;0;11;11;8;3;OUI;OUI;2025-04-17T15:42:11+00:00;48.834001935501, 2.3703888058662;Paris;75056;
19121;Belleville -  Pré Saint-Gervais;OUI;0;19;2;0;2;OUI;OUI;2025-04-17T15:41:49+00:00;48.875565910073, 2.3930460959673;Paris;75056;
32605;Mairie;OUI;0;16;4;0;4;OUI;OUI;2025-04-17T15:38:17+00:00;48.87914304162, 2.4163350908311;Les Lilas;93045;
25007;Bons Raisins - Voltaire;OUI;0;21;3;0;3;OUI;OUI;2025-04-17T15:42:10+00:00;48.87282451461399, 2.1947155570850896;Rueil-Malmaison;92063;
17202;Mariotte - Batignolles;OUI;0;16;3;1;2;OUI;OUI;2025-04-17T15:41:58+00:00;48.884571659595, 2.321469503475;Paris;75056;
21002;Place Denfert-Rochereau;OUI;0;17;3;1;2;OUI;OUI;2025-04-17T15:39:12+00:00;48.843252536286684, 2.245987951755524;Boulogne-Billancourt;92012;
8202;Londres - Europe;OUI;0;24;2;1;1;OUI;OUI;2025-04-17T15:40:36+00:00;48.878618556803, 2.3248164693922;Paris;75056;
13024;Bobillot - Tolbiac;OUI;0;21;9;6;3;OUI;OUI;2025-04-17T15:36:47+00:00;48.8255961335041, 2.350204177200794;Paris;75056;
12202;Charenton - Wattignies;OUI;0;33;5;1;4;OUI;OUI;2025-04-17T15:42:06+00:00;48.836919119234, 2.3916775206425;Paris;75056;
24004;Paix - Verdun;OUI;0;30;5;3;2;OUI;OUI;2025-04-17T15:42:03+00:00;48.900504, 2.261173;Courbevoie;92026;
42030;Stéphanie Bouvard - Gambetta;OUI;0;14;16;10;6;OUI;OUI;2025-04-17T15:41:13+00:00;48.814548138856, 2.4024386957288;Ivry-sur-Seine;94041;
24005;Edith Cavell - Volta;OUI;0;28;4;1;3;OUI;OUI;2025-04-17T15:41:37+00:00;48.901616564286975, 2.269354350864887;Courbevoie;92026;
8018;Saint-Augustin;OUI;0;12;32;24;8;OUI;OUI;2025-04-17T15:41:42+00:00;48.8762009747008, 2.319786250591278;Paris;75056;
31104;Mairie de Rosny-sous-Bois;OUI;0;7;21;13;8;OUI;OUI;2025-04-17T15:40:28+00:00;48.871256519012, 2.4865807592869;Rosny-sous-Bois;93064;
18010;Riquet - Marx Dormoy;OUI;0;30;3;0;3;OUI;OUI;2025-04-17T15:42:39+00:00;48.89021003702, 2.3601756244898;Paris;75056;
42024;Danielle Casanova - Ledru-Rollin;OUI;0;20;8;7;1;OUI;OUI;2025-04-17T15:41:38+00:00;48.815783497876815, 2.383259721100331;Ivry-sur-Seine;94041;
48001;Chastenet de Géry - Marcel Paul;OUI;0;25;0;0;0;OUI;OUI;2025-04-17T15:38:04+00:00;48.800123, 2.3567359;Villejuif;94076;
5027;Gobelins - Port-Royal;OUI;0;33;7;3;4;OUI;OUI;2025-04-17T15:41:59+00:00;48.837135900263, 2.3515201359987;Paris;75056;
51008;Martyrs de Châteaubriant - Jean Grandel;OUI;0;22;16;10;6;OUI;OUI;2025-04-17T15:41:42+00:00;48.951432, 2.211214;Argenteuil;95018;
15203;Porte de Versailles;OUI;0;15;13;10;3;OUI;OUI;2025-04-17T15:41:37+00:00;48.832324016657, 2.2875617349045;Paris;75056;
24101;Place Charles de Gaulle;OUI;0;21;3;1;2;OUI;OUI;2025-04-17T15:38:31+00:00;48.826073335699, 2.1894485725692;Ville-d'Avray;92077;
11111;Léon Frot - Charonne;OUI;0;6;12;6;6;OUI;OUI;2025-04-17T15:40:30+00:00;48.854963800335234, 2.387217085372007;Paris;75056;
34011;Clef des Champs - Albert Dhalenne;OUI;0;21;7;4;3;OUI;OUI;2025-04-17T15:37:14+00:00;48.914938, 2.330665;Saint-Ouen-sur-Seine;93070;
19117;Euryale Dehaynin - Loire;OUI;0;22;5;0;5;OUI;OUI;2025-04-17T15:42:32+00:00;48.886248917304805, 2.3774591088294987;Paris;75056;
21329;Gare - Aristide Briand;OUI;0;19;8;4;4;OUI;OUI;2025-04-17T15:40:31+00:00;48.821410564722, 2.2555950104387;Issy-les-Moulineaux;92040;
21022;Dôme - République;OUI;0;5;17;15;2;OUI;OUI;2025-04-17T15:40:46+00:00;48.832681, 2.250257;Boulogne-Billancourt;92012;
13015;Chevaleret - Louise Weiss;OUI;0;7;27;20;7;OUI;OUI;2025-04-17T15:42:43+00:00;48.832586513351, 2.37121138812;Paris;75056;
20003;Pyrénées - Cours de Vincennes;OUI;0;17;3;0;3;OUI;OUI;2025-04-17T15:41:58+00:00;48.847796779935, 2.4061721563339;Paris;75056;
19114;Manin - Secrétan;OUI;0;20;0;0;0;OUI;OUI;2025-04-17T15:36:18+00:00;48.8791665, 2.3787959;Paris;75056;
41602;Place Charles Digeon;OUI;0;26;5;3;2;OUI;OUI;2025-04-17T15:40:09+00:00;48.84354203133597, 2.418427169322968;Saint-Mandé;94067;
12123;Château de Vincennes;OUI;0;50;2;0;2;OUI;OUI;2025-04-17T15:42:34+00:00;48.84423193255657, 2.439209537709179;Paris;75056;
20012;Buzenval - Vignoles;OUI;0;14;1;0;1;OUI;OUI;2025-04-17T15:40:59+00:00;48.853858171688, 2.4000040814281;Paris;75056;
19006;Mathis - Flandre;OUI;0;0;0;0;0;NON;NON;2024-09-05T10:54:01+00:00;48.890642989898, 2.3762554675341;Paris;75056;
14027;Gergovie - Alésia;OUI;0;50;2;2;0;OUI;OUI;2025-04-17T15:39:08+00:00;48.83088717455243, 2.318882101207347;Paris;75056;
23041;Général Leclerc - Bièvre;OUI;0;16;6;6;0;OUI;OUI;2025-04-17T15:37:26+00:00;48.782414428747316, 2.3166695237159733;Bourg-la-Reine;92014;
42303;Place Eustache Deschamps;OUI;0;1;19;13;6;OUI;OUI;2025-04-17T15:41:53+00:00;48.793855, 2.336637;Cachan;94016;
13116;Place du Docteur Yersin;OUI;0;36;14;12;2;OUI;OUI;2025-04-17T15:40:11+00:00;48.82010494991975, 2.3725583776831627;Paris;75056;
35013;Guillaume Tell - Parc Henri Barbusse;OUI;0;14;6;2;4;OUI;OUI;2025-04-17T15:40:54+00:00;48.88958925894009, 2.4198862910270695;Pantin;93055;
48006;Maxime Gorki - Paul Vaillant-Couturier;OUI;0;19;0;0;0;OUI;OUI;2025-04-17T15:41:16+00:00;48.79673508795443, 2.3683342337608337;Villejuif;94076;
20020;Pyrénées - Charles Renouvier;OUI;0;26;2;2;0;OUI;OUI;2025-04-17T15:41:01+00:00;48.86095933229224, 2.400421852042113;Paris;75056;
15012;Cambronne - Mademoiselle;OUI;0;57;10;9;1;OUI;OUI;2025-04-17T15:42:33+00:00;48.843277330035214, 2.30230766886348;Paris;75056;
12008;Hector Malot - Daumesnil;OUI;0;3;47;40;7;OUI;OUI;2025-04-17T15:42:09+00:00;48.84693552991762, 2.3770876228809357;Paris;75056;
18016;Francoeur - Caulaincourt;OUI;0;31;3;0;3;OUI;OUI;2025-04-17T15:40:34+00:00;48.8899944409612, 2.342529706656933;Paris;75056;
13120;Pierre Joseph Desault;OUI;2;14;5;4;1;OUI;OUI;2025-04-17T15:42:45+00:00;48.82110230800372, 2.378775402903557;Paris;75056;
15053;Lecourbe - Convention;OUI;0;37;6;3;3;OUI;OUI;2025-04-17T15:42:41+00:00;48.83923319241899, 2.2915197908878326;Paris;75056;
15024;Suffren - La Motte-Piquet;OUI;0;19;4;3;1;OUI;OUI;2025-04-17T15:42:05+00:00;48.850881230919, 2.3012199997902;Paris;75056;
15041;Franquet - Labrouste;OUI;0;31;4;1;3;OUI;OUI;2025-04-17T15:42:36+00:00;48.83287705011431, 2.306762784719467;Paris;75056;
43007;Hôtel de Ville de Vincennes;OUI;0;21;5;3;2;OUI;OUI;2025-04-17T15:36:28+00:00;48.84827609706963, 2.4398955702781677;Vincennes;94080;
10003;Hauteville - Bonne Nouvelle;OUI;0;14;2;1;1;OUI;OUI;2025-04-17T11:21:12+00:00;48.87077436024, 2.3496496368327;Paris;75056;
15050;Dominique Pado - Croix Nivert;OUI;0;12;9;6;3;OUI;OUI;2025-04-17T15:42:34+00:00;48.83648798164934, 2.2897250577807426;Paris;75056;
11022;Roquette - Auguste Laurent;OUI;4;6;7;6;1;OUI;OUI;2025-04-17T15:39:40+00:00;48.858001906023354, 2.381797702650783;Paris;75056;
13036;Olympiades;OUI;6;33;3;3;0;OUI;OUI;2025-04-17T15:42:27+00:00;48.826764665199, 2.3650860786438;Paris;75056;
